iter	Passed	Remaining
0	60	60360
1	60	30299
2	60	20264
3	61	15247
4	61	12245
5	61	10238
6	62	8809
7	62	7731
8	62	6895
9	62	6227
10	63	5679
11	63	5221
12	63	4838
13	64	4509
14	64	4226
15	64	3972
16	64	3749
17	65	3552
18	65	3375
19	65	3217
20	65	3072
21	66	2940
22	66	2823
23	66	2717
24	67	2616
25	67	2522
26	67	2438
27	67	2356
28	68	2281
29	68	2211
30	68	2147
31	68	2085
32	69	2027
33	69	1973
34	69	1922
35	70	1876
36	70	1831
37	70	1789
38	70	1747
39	71	1709
40	71	1673
41	71	1638
42	72	1605
43	72	1572
44	72	1542
45	72	1513
46	73	1485
47	73	1458
48	73	1432
49	74	1408
50	74	1385
51	74	1362
52	74	1339
53	75	1318
54	75	1296
55	75	1276
56	75	1257
57	76	1238
58	76	1220
59	76	1202
60	77	1186
61	77	1169
62	77	1153
63	77	1138
64	78	1123
65	78	1109
66	78	1094
67	78	1080
68	79	1067
69	79	1054
70	79	1041
71	79	1029
72	80	1017
73	80	1005
74	80	994
75	80	983
76	81	972
77	81	961
78	81	951
79	81	940
80	82	931
81	82	921
82	82	910
83	82	901
84	82	892
85	83	883
86	83	876
87	83	868
88	84	860
89	84	851
90	84	843
91	84	836
92	85	829
93	85	821
94	85	814
95	85	807
96	85	800
97	86	793
98	86	786
99	86	780
100	86	774
101	87	767
102	87	761
103	87	755
104	87	749
105	88	744
106	88	738
107	88	733
108	89	727
109	89	722
110	89	717
111	89	712
112	90	706
113	90	701
114	90	696
115	90	692
116	91	687
117	91	682
118	91	678
119	91	673
120	92	669
121	92	664
122	92	659
123	92	655
124	93	651
125	93	647
126	93	642
127	93	639
128	94	635
129	94	631
130	94	627
131	94	624
132	95	620
133	95	616
134	95	613
135	95	609
136	96	606
137	96	603
138	96	599
139	97	596
140	97	592
141	97	589
142	97	585
143	97	582
144	98	579
145	98	576
146	98	573
147	99	570
148	99	567
149	99	564
150	99	561
151	100	558
152	100	555
153	100	552
154	100	549
155	101	547
156	101	544
157	101	541
158	101	539
159	102	536
160	102	533
161	102	530
162	102	528
163	103	525
164	103	523
165	103	521
166	104	519
167	104	517
168	104	514
169	105	512
170	105	510
171	105	507
172	105	505
173	106	503
174	106	501
175	106	499
176	106	496
177	107	494
178	107	492
179	107	490
180	108	488
181	108	486
182	108	484
183	108	482
184	109	480
185	109	478
186	109	476
187	109	474
188	110	472
189	110	470
190	110	468
191	110	466
192	111	464
193	111	462
194	111	460
195	111	459
196	112	457
197	112	455
198	112	453
199	113	452
200	113	450
201	113	448
202	113	446
203	114	445
204	114	443
205	114	441
206	114	440
207	115	438
208	115	437
209	115	435
210	116	434
211	116	432
212	116	430
213	116	429
214	117	427
215	117	426
216	117	424
217	117	423
218	118	421
219	118	420
220	118	418
221	119	417
222	119	415
223	119	414
224	119	412
225	120	411
226	120	409
227	120	408
228	120	406
229	121	405
230	121	404
231	121	402
232	121	401
233	122	399
234	122	398
235	122	397
236	122	395
237	123	394
238	123	393
239	123	391
240	124	390
241	124	389
242	124	388
243	124	386
244	125	385
245	125	384
246	125	383
247	125	382
248	126	380
249	126	379
250	126	378
251	127	377
252	127	375
253	127	374
254	127	373
255	128	372
256	128	371
257	128	369
258	128	368
259	129	367
260	129	366
261	129	365
262	129	364
263	130	363
264	130	362
265	130	360
266	131	359
267	131	358
268	131	357
269	131	356
270	132	355
271	132	354
272	132	353
273	132	352
274	133	351
275	133	350
276	133	349
277	134	348
278	134	347
279	134	346
280	134	345
281	135	344
282	135	343
283	135	342
284	135	341
285	136	340
286	136	339
287	136	338
288	137	337
289	137	336
290	137	335
291	137	334
292	138	333
293	138	332
294	138	331
295	139	332
296	139	331
297	140	330
298	140	329
299	140	328
300	141	327
301	141	326
302	141	325
303	141	324
304	142	323
305	142	322
306	142	321
307	142	321
